,pizza_id,pizza_name,pizza_size,pizza_category,pizza_ingredients
0,hawaiian_m,Hawaiian,M,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese"
1,classic_dlx_m,Classic Deluxe,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon"
2,five_cheese_l,Five Cheese,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic"
3,ital_supr_l,Italian Supreme,L,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic"
4,mexicana_m,Mexicana,M,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic"
5,thai_ckn_l,Thai Chicken,L,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce"
6,ital_supr_m,Italian Supreme,M,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic"
7,prsc_argla_l,Prosciutto and Arugula,L,Supreme,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese"
10,bbq_ckn_s,Barbecue Chicken,S,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
11,the_greek_s,Greek,S,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions"
12,spinach_supr_s,Spinach Supreme,S,Supreme,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese"
14,classic_dlx_s,Classic Deluxe,S,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon"
15,green_garden_s,Green Garden,S,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese"
16,ital_cpcllo_l,Italian Capocollo,L,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano"
18,ital_supr_s,Italian Supreme,S,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic"
19,mexicana_s,Mexicana,S,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic"
20,spicy_ital_l,Spicy Italian,L,Supreme,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic"
21,spin_pesto_l,Spinach Pesto,L,Veggie,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce"
22,veggie_veg_s,Vegetables + Vegetables,S,Veggie,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic"
23,mexicana_l,Mexicana,L,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic"
24,southw_ckn_l,Southwest Chicken,L,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce"
25,bbq_ckn_l,Barbecue Chicken,L,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce"
26,cali_ckn_l,California Chicken,L,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese"
27,cali_ckn_m,California Chicken,M,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese"
28,pepperoni_l,Pepperoni,L,Classic,"Mozzarella Cheese, Pepperoni"
30,cali_ckn_s,California Chicken,S,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese"
31,ckn_pesto_l,Chicken Pesto,L,Chicken,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce"
35,big_meat_s,Big Meat,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage"
37,soppressata_l,Soppressata,L,Supreme,"Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic"
39,four_cheese_l,Four Cheese,L,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic"
40,napolitana_s,Napolitana,S,Classic,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic"
43,calabrese_m,Calabrese,M,Supreme,"慛duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic"
45,four_cheese_m,Four Cheese,M,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic"
